,Listing Type,Property Type,Building Type,City,Locality,Area,Rent,Furnishing Status,Number of Rooms,Number of Bathroom,Covered Parking,View,Floor Number,Tower/Block,Additional Rooms,Security Deposit,Available From,Age of Property (Years),Unit No,Total Floor Count,Balcony,Open/Uncovered Parking,Deposit amount,crime,hospital
2994,Rent,Commercial,Office Space,Bangalore,Electronic City,1000 Sq.Ft. (Built-up Area),"79,000",Furnished,,,4,,2,,,Two Month,,,23,,,,,no,no
2995,Rent,Commercial,Industrial Plot,Bangalore,Rajaji Nagar,6000 Sq.Yd. (Plot Area),2 L,,,,,,,,,,,,,,,,,no,no
2996,Rent,Residential,Independent House,Bangalore,Murugesh Palya,929 Sq.Ft. (Built-up Area),"20,000",Semi-Furnished,2,1,,,,,,Other,Immediately,7-May,,,,,100000,no,no
2997,Rent,Residential,Apartment,Bangalore,Kr Puram,2750 Sq.Ft. (Built-up Area),"75,000",Semi-Furnished,3.5,3,1,Garden View,4,C,Extra Room,Other,Immediately,4-Feb,1,13,Room-attached,,300000,no,no
2998,Rent,Commercial,Office Space,Bangalore,Mg Road,3000 Sq.Ft. (Built-up Area),1 L,Unfurnished,,,6+,Road View,7,3,,,,10-Aug,3,,Individual,,,no,no
2999,Rent,Residential,Apartment,Bangalore,Tumkur Road,1200 Sq.Ft. (Built-up Area),"30,000",Semi-Furnished,2,2,1,,9,,,Other,Immediately,0-1,,,,,180000,no,no
3000,Rent,Residential,Apartment,Bangalore,Kammanahalli,1293 Sq.Ft. (Saleable Area),"50,000",Semi-Furnished,,2,1,Lake View,12,k,,Other,Immediately,4-Feb,,18,Connected,1,250000,no,no
3001,Rent,Residential,Apartment,Bangalore,Kasavanahalli,1511 Sq.Ft. (Built-up Area),"60,000",Furnished,3,2,1,Garden View,3,B,,Other,Immediately,,304,4,Connected,,300000,no,no
3002,Rent,Residential,Apartment,Bangalore,Bhattarahalli,1000 Sq.Ft. (Built-up Area),"25,000",Semi-Furnished,2,2,1,,1,1,,Other,Immediately,0-1,1,4,Connected,1,100000,no,yes
3003,Rent,Residential,Apartment,Bangalore,Indiranagar,1295 Sq.Ft. (Built-up Area),"46,000",Semi-Furnished,2,2,2,Garden View,201,a,,Other,Immediately,10-Aug,1,4,"Connected,Room-attached",1,250000,no,yes
3004,Rent,Residential,Apartment,Bangalore,Kothanur,1200 Sq.Ft. (Built-up Area),"20,000",Semi-Furnished,2,2,1,,,,,Other,Immediately,4-Feb,,,Connected,,200000,no,no
3005,Rent,Residential,Apartment,Bangalore,Hoodi,1238 Sq.Ft. (Saleable Area),"45,000",Semi-Furnished,2,2,1,Lake View,2,9,Extra Room,Other,Later,0-1,1,18,Connected,1,250000,no,no
